𤞻	⿰犭⿱⿱⿵𠆢丶乛口	コウ ク	p:口
𤞼	⿰犭吝	リン	p:吝
𤞽	⿰犭芒	ボウ コウ	p:芒
𤞾	⿰犭𭥐	タン	u
𤞿	⿰犴犬	カン	u
𤟀	⿰皂犬	ソウ	u
𤟁	⿰犭⿱刃𫩏	ジン ニン	p:刃
𤟂	⿰犭肓	コウ	p:肓
𤟃	⿰犭疌	ジョウ ニョウ	p:疌
𤟄	⿰犭空	コウ	u
𤟅	⿰犭臽	カン ゲン	u
𤟆	⿰犭剎	セツ サツ	p:剎
𤟇	⿰犭炎	エン	u
𤟈	⿰犭東	トウ	u
𤟉	⿰犭岸	ガン	u
𤟊	⿰犭宛	エン	p:宛
𤟋	⿰犭効	コウ キョウ	u
𤟌	⿰爿⿱𱼀犬	ショウ	u
𤟍	⿰犭易	タク チャク	u
𤟎	⿰犭屈	クツ クチ	u
𤟏	⿱叔犬	シュク	u
𤟐	⿸厂⿱㓞犬	セイ	u
𤟑	⿰犭戾	レイ ライ	u
𤟒	⿱⿰爿夕犬	ショウ	u
𤟓	⿰䒥犬	ロク	u
𤟔	⿰犭長	チョウ	u
𤟕	⿰犭𦙃	ショ	u
𤟖	⿰犭采	サイ	u
𤟗	⿰犭受	エン	u
𤟘	⿰犭录	ロク	u
𤟙	⿰炙犬	ゼン	u
𤟚	⿰犭𪠨	カ ケ	u
𤟛	⿰犭兔	ト ツ	p:兔
𤟜	⿰𫊝犬	ケン	u
𤟝	⿰犭𧆞	カ ケ	u
𤟞	⿰⿱交口犬	コウ ギョウ	u
𤟟	⿰犭音	アン	u
𤟠	⿰犭胥	ショ	u
𤟡	⿰犭皇	コウ	u
𤟢	⿰盾犬	トン ドン	u
𤟣	⿰犭盈	エイ ヨウ	u
𤟤	⿰犭軍	キ コン ゴン クン	u
𤟥	⿰犭是	ダイ テイ	u
𤟦	⿰犭耎	ドウ ヌ	u
𤟧	⿰犭思	シ	u
𤟨	⿰犭𮩴	シュ	u
𤟩	⿰虽犬	トク ドク	u
𤟪	⿰犭突	トツ ドチ	u
𤟫	⿰犭叜	シュウ ソウ	u
𤟬	⿰犭⿱丗木	トウ	u
𤟭	⿱㲋犬	チャク	u
𤟮	⿰耑犬	タン セン	p:耑
𤟯	⿰犭面	メン ベン	p:面
𤟰	⿰犭剌	ラツ	p:剌
𤟲	⿰犭姜	キョウ ガ	p:姜
𤟳	⿱狗分	ブン フン	p:分
𤟴	⿰犬軍	キ	u
𤟵	⿰⿸户目犬	レイ	u
𤟶	⿰⿱⿱？⿰丨？⺝犬	エン	u
𤟷	⿰犭歪	ワイ エ	p:歪
𤟸	⿲犭申攵	チン	u
𤟹	⿰犭禺	グ グウ	p:禺
𤟺	⿰犭⿳由一夊	スイ	p:夊
𤟻	⿰犭𢍆	カツ	u
𤟼	⿰犭訇	コウ	u
𤟽	⿰犭施	シャ	u
𤟾	⿰犭帝	テイ	u
𤟿	⿰犭宣	セン	u
𤠀	⿰犭凾	サツ	u
𤠁	⿰犭首	シュ	p:首
𤠂	⿰犭苔	タイ	p:苔
𤠃	⿰犭勁	ケイ	p:勁
𤠄	⿰犭𤔄		
𤠅	⿰犭盃	ハイ	p:盃
𤠆	⿰犭哀	アイ	p:哀
𤠇	⿰犭革	カク キャク	u
𤠈	⿰犭舁	ヨ	p:舁
𤠉	⿰犭英	エイ	p:英
𤠊	⿰宣犬	セン	p:宣
𤠋	⿰犭娄	ル ユ	v:㺏
𤠌	⿰犭柴	サイ	u
𤠍	⿰犭般	ハン バン	u
𤠎	⿰犭畟	ショク シキ	u
𤠏	⿰犭𰙩	ドウ	u
𤠐	⿰犭𦐇	トウ ドウ	u
𤠑	⿰犭留	リュウ ル	u
𤠒	⿲犭𠂤犬	シ	u
𤠓	⿰犭奚	ケイ ゲイ	u
𤠔	⿰犭員	エン	u
𤠕	⿰犭畜	キュウ	u
𤠖	⿰犭高	コウ	u
𤠗	⿰犭能	キュウ	u
𤠘	⿰犭蚤	ソウ	u
𤠙	⿰犭哥	カ ケ	u
𤠚	⿰犭素	ソ	u
𤠛	⿰犭𮎰	コウ	u
𤠜	⿰犭庭	テイ ジョウ	u
𤠝	⿰犭差	サ	u
𤠞	⿰犭𣬉	ヒ	u
𤠟	⿰犭荅	トウ	u
𤠠	⿰犭衰	スイ	u
𤠡	⿰犭盍	トウ	u
𤠢	⿰⿻口虫犬	チュウ キ	p:虫
𤠣	⿰犭候	コウ	p:候
𤠤	⿰犭荒	コウ	p:荒
𤠥	⿰犭㪿	セイ	u
𤠦	⿲犭⿳山一儿攵	ホク	p:攵
𤠧	⿰犭𭃳		
𤠨	⿰⿱艹𮦄犬	ウ	p:𮦄
𤠩	⿲⿱自方丶犬	チュ	p:丶
𤠪	⿰⿱巛囯犬	フク	u
𤠫	⿰犭栗	リツ	u
𤠬	⿰犭𠳮	キョウ	u
𤠭	⿰犭射	シャ	u
𤠮	⿰犭芻	スウ シュウ	p:芻
𤠯	⿰犭唐	トウ	p:唐
𤠰	⿰犭冓	コウ	p:冓
𤠱	⿰犭埃	アイ	p:埃
𤠲	⿰犭豈	カイ ガイ	p:豈
𤠳	⿰犭起	キ	p:起
𤠴	⿰犭院	イン	p:院
𤠵	⿰犭⿱⿰丰力手	ケツ	u
𤠶	⿰犭真	テン	u
𤠷	⿰蚩犬	シ	p:蚩
𤠸	⿰犭郎	ロウ リョウ	p:郎
𤠹	⿰犭帶	セイ	u
𤠺	⿰犭畢	ヒツ ヒチ	u
𤠻	⿰犭啇	テキ	u
𤠼	⿱殻犬	カク コク	p:殻
𤠽	⿰犭戚	シュク	u
𤠾	⿰犭區	チョ	u
𤠿	⿰犭堅	カン ケン	u
𤡀	⿰犭羕	ヨウ	u
𤡁	⿰犭㒼	バン マン	u
𤡂	⿰犭累	ルイ	u
𤡃	⿰犭欶	ソク	u
𤡄	⿰犭𨊴	チン	u
𤡅	⿰犭㕘	サン セン	u
𤡆	⿰犭從	ソウ ス	u
𤡇	⿰犭毫	コウ	u
𤡈	⿰犭許	キョ	p:許
𤡉	⿰犭𦰩		
𤡊	⿰犭鹿	ロク	p:鹿
𤡋	⿰犭軟	ナン	p:軟
𤡌	⿰犭𰿘		
𤡍	⿰犭庶	ショ	p:庶
𤡎	⿰⿱丶鬲犬	ケン	u
𤡏	⿰犭𨱝	セキ	u
𤡐	⿰犭曹	ソウ	u
𤡑	⿰犭票	ヒョウ	u
𤡒	⿰犭野	ヤ ショ	u
𤡓	⿰犭國	オク	u
𤡔	⿰犭梟	キョウ	p:梟
𤡕	⿰犭鳥	フン	u
𤡖	⿰犭這	ガン	u
𤡗	⿰犭𡨼	シュウ	u
𤡘	⿰犭⿰⿱𫜹⺝⿱？又	カン	u
𤡙	⿰犭叄	サン	u
𤡚	⿰犭既	キ	p:既
𤡛	⿰犭⿳宀一𰤲	イチ イツ	p:一
𤡜	⿰𰮕犬	エン	u
𤡝	⿰犭𡌦	ヘイ	u
𤡞	⿰犭⿱艹⿻⺕龰	ソウ	u
𤡟	⿰犭患	カン	u
𤡠	⿰犭晨	ドウ ニョウ ノウ	u
𤡡	⿰犭⿱臼匃	シャク	u
𤡢	⿰犭离	チ	u
𤡣	⿰犭虚	キョ コ	u
𤡤	⿰犭𦓔	ドウ ノウ	u
𤡥	⿰犭閒	ガン ゲン カン	u
𤡦	⿰犭閑	ガン	u
𤡧	⿰犭惢	スイ ズイ カイ ガイ	u
𤡨	⿰犭絲	シ	p:絲
𤡩	⿰粦犬	リン	u
𤡪	⿰犭隋	スイ イ	u
𤡫	⿰犭厤	レキ リャク	u
𤡬	⿰犭壹	キ	u
𤡭	⿰犭彭	ホウ ヒョウ	u
𤡮	⿰犭然	ゼン ネン	u
𤡯	⿰犭舃	シャク セキ	v:獡
𤡰	⿰犭斑	ハン	u
𤡱	⿰犭貴	ケイ ケ	u
𤡲	⿰犭開	カイ	u
𤡳	⿰犭𢽬	チン	u
𤡴	⿰⿱吅虫犬	トク ドク	u
𤡵	⿰雇犬	レイ	u
𤡶	⿰犭⿳卉⿱八𠆢十	クツ クチ	u
𤡷	⿰犭渠	キョ	p:渠
𤡸	⿰犭象	ショウ ゾウ	p:象
𤡹	⿰犭䭴	カン ケン	p:䭴
𤡺	⿰犭𡩋		
𤡻	⿲犭東欠	ケツ ケン	p:欠
𤡼	⿰犭⿱？田	デン	p:田
𤡽	⿰奠犬	テン デン	p:奠
𤡾	⿰惡犬	アク	u
𤡿	⿰答犬	レイ	u
𤢀	⿰犭喜	キ	u
𤢁	⿰犭⿱艹丳	カン	u
𤢂	⿰犭粟	ゾク ショク	p:粟
𤢃	⿰犭⿱右⿵⿵冂八山	キョウ	u
𤢄	⿰犭敞	ショウ	u
𤢅	⿰犭𤉷	ゼン	u
𤢆	⿰犭甯	ネイ ニュウ	p:甯
𤢇	⿰犭筆	ヒツ	p:筆
𤢈	⿰犭登	トウ ト	p:登
𤢉	⿰犭𰕎		
𤢊	⿰犭路	ロ	u
𤢋	⿰犭⿱𭣤丗	ガン	u
𤢌	⿰犭禽	チ	u
𤢍	⿰犭遀	ズイ	u
𤢎	⿰犭當	トウ	u
𤢏	⿰犭亶	タン	u
𤢐	⿰犭雍	オウ	u
𤢑	⿰犭葵	キ	u
𤢒	⿰犭廌	タイ テ チ	u
𤢓	⿰犭豦	キョ コ ゴ	u
𤢔	⿰犭歇	ケツ ケチ キョウ コウ	u
𤢕	⿰睪犬	エキ セク ト ズ	v:斁
𤢗	⿰犭雷	ライ	u
𤢘	⿰犭⿱夂素	ソ	u
𤢙	⿰犭𤊽	リョウ	u
𤢚	⿰⿱厸禺犬	ジュウ	u
𤢛	⿰犭意	イ	p:意
𤢜	⿰蜀犬	ドク	u
𤢝	⿱𢾕犬	ゴウ	u
𤢞	⿰犭㬅	マン	u
𤢟	⿰犭睪	エキ ヤク	p:睪
𤢠	⿰犭⿳山日𠣏	カツ	u
𤢡	⿰犭鼠	ソ ショ	p:鼠
𤢢	⿰犭⿱亩衣	ジョウ	u
𤢣	⿰犭辟	ヘキ	u
𤢤	⿰犭稟	リン ヒン	p:稟
𤢥	⿰犭萬	マン バン	p:萬
𤢦	⿰犭㥯	イン オン	u
𤢧	⿰犭⿱冖舃	シャク	u
𤢨	⿰犭蒿	コウ	u
𤢩	⿰犭隨	スイ ツイ	u
𤢪	⿰犭⿳巛𠔿⿲⿺𠄌⺀⿺𠄌⺀㇂	リョウ かり	u
𤢫	⿰犭⿱百奔	ホン	p:奔
𤢬	⿰犭臺	ダイ タイ	p:臺
𤢭	⿰犭豪	ゴウ	p:豪
𤢮	⿰犭⿱羊㹜	ヨウ	u
𤢯	⿰犭㷠	リン	u
𤢰	⿲犭言男	ダン ナン	p:男
𤢱	⿰犭⿱㝐⿲⿺𠄌⺀⿺𠄌⺀㇂	ケツ カチ	p:𠄌
𤢲	⿰犭銀	ギン	p:銀
𤢳	⿰犭鼻	ビ	p:鼻
𤢴	⿰犭樂	シャク レキ リャク	u
𤢵	⿰犭厲	ライ	u
𤢶	⿰犭窮	キュウ グ	u
𤢷	⿰犭韯	セン	u
𤢸	⿰犭寮	リョウ	u
𤢹	⿰犭畾	ルイ	u
𤢺	⿰犭頡	ケツ ゲチ	u
𤢻	⿰犭慸	セイ シ	u
𤢼	⿰犭適	テキ	u
𤢽	⿰犭質	シツ シチ	p:質
𤢾	⿰犭劍	ケン	p:劍
𤢿	⿰犭磊	ライ	p:磊
𤣀	⿰犭鄭	テイ ジョウ	p:鄭
𤣁	⿰犭⿳曲冖豆	トウ ズ	p:豆
𤣂	⿱畾犬	ルイ ライ	p:畾
𤣃	⿰犭魯	ロ	u
𤣄	⿰犭麃	ホウ ビョウ	p:麃
𤣅	⿰霍犬	カク	u
𤣆	⿰犭聮	レン タン デン チン	u
𤣇	⿰犭⿱𭘧心	シン	p:心
𤣈	⿲犭耳⿱𢆶从	ショウ ジュウ	p:从
𤣉	⿰⿳⿻冖王口⿵冂𢆉犬	ジン ニン	p:𢆉
𤣊	⿰獚犬	コウ	u
𤣋	⿰犭⿱雨並	レイ	u
𤣌	⿰犭學	キョウ	u
𤣍	⿰犭霝	レイ リョウ	u
𤣎	⿰犭嬰	エイ ヨウ	u
𤣏	⿰𫊣犬		
𤣐	⿰犭壐	ジ	p:壐
𤣑	⿰犭巂	ケイ ゲ	u
𤣒	⿰犭聶	ショウ	u
𤣓	⿰犭瞿	カク ク キャク おおざる	u
𤣔	⿰犭⿱爾王	セン	u
𤣕	⿰犭雞	ケイ	p:雞
𤣖	⿰犭豐	ホウ ブ	p:豐
𤣗	⿰犭璽	ジ	p:璽
𤣘	⿰冥猪	レイ リョウ	u
𤣙	⿰犭⿳丷？政	ユウ	u
𤣚	⿰犭艶	エン	p:艶
𤣛	⿰犭⿳穴瓜㼌	ユウ ユ	u
𤣜	⿰犭䢉	ドウ	u
𤣝	⿰犭蠒	セン	u
𤣞	⿰犭黨	トウ	p:黨
𤣟	⿰犭覽	ラン	u
𤣠	⿰犭嚻	キョウ	u
𤣡	⿰獨直	チョク ジキ	p:直
𤣢	⿰犭蘭	ラン ラ	p:蘭
𤣣	⿰犭⿳吅貢吅	キョウ	u
𤣤	⿰犭靈	レイ リョウ	u
𤣥	⿱亠？		
𤣦	⿰𤣥厷	コウ	p:厷
𤣧	⿰玄⿱山⿱𠂉⺊	ロ	u
𤣨	⿰玄曷	カツ	p:曷
𤣩		ギョク ゴク たま ぎょく	u
𤣪	⿳一⿻十⿰丿㇄一	ギョク	u
𤣫	⿱王㇉	トウ	u
𤣬	⿱九玉	オ	u
𤣭	⿰𤣩⿱⺄十	シン	u
𤣮	⿰𤣩乞	コツ キツ	p:乞
𤣯	⿰𤣩乇	タク	u
𤣰	⿰𤣩土	ホ フ	u
𤣱	⿰𤣩已	イ	p:已
𤣲	⿰𤣩卂	シン	p:卂
𤣳	⿰𤣩千	セン	p:千
𤣴	⿱亡王	ボウ	u
𤣵	⿰𤣩么	キョウ ク シ	u
𤣶	⿱玉山	キン	u
𤣷	⿰𤣩女	ジョ ニョ	p:女
𤣸	⿰𤣩丈	ハツ	u
𤣹	⿰𤣩尹	ホウ	u
𤣺	⿰𤣩爪	ソウ	u
𤣻	⿰𤣩⿱勹又	ボツ モチ	u
𤣼	⿱内玉	ゼツ ネチ	u
𤣽	⿰𤣩冃	ボウ	u
𤣾	⿰𤣩厷	コウ	p:厷
𤣿	⿰𤣩开	カイ	p:开
𤤀	⿰𤣩屯	トン	p:屯
𤤁	⿰𤣩方	ホウ	p:方
𤤂	⿰𤣩予	ヨ シャ	p:予
𤤃	⿰𤣩⿰丨三	サン ゾウ	p:三
𤤄	⿰𤣩殳	シュ	p:殳
𤤅	⿰𤣩勿	モチ ブツ	p:勿
𤤆	⿰𤣩斤	キン	p:斤
𤤇	⿰𤣩天	テン	p:天
𤤈	⿰𤣩𢆰	コ	u
𤤉	⿰𤣩少	ホ	u
𤤊	⿰𤣩⿱刀刀	タイ	u
𤤋	⿱夭玉	キ	u
𤤌	⿰𤣩冗	ジョウ	p:冗
𤤍	⿰𤣩旡	ビン	u
𤤎	⿱父玉	フ	p:父
𤤏	⿰𤣩叏	ケツ	u
𤤐	⿰𤣩斥	ソ	u
𤤑	⿰𤣩卭	キョウ グ	u
𤤒	⿰𤣩犮	ハツ ヘチ	u
𤤓	⿰𤣩𡴀	ホウ	u
𤤔	⿰𤣩立	リツ リュウ	p:立
𤤕	⿰𤣩付	フ	p:付
𤤖	⿰𤣩弗	フツ ホチ	p:弗
𤤗	⿰𤣩尼	ニ	p:尼
𤤘	⿱北王	キュウ	u
𤤙	⿰玉世	セイ セ	p:世
𤤚	⿰𤣩⿱冖巾	キン フク	p:巾
𤤛	⿰𤣩主	たま	u
𤤜	⿰𤣩⿱耂乙	オツ イツ	p:乙
𤤝	⿰𤣩丙	ヘイ	p:丙
𤤞	⿰𤣩𡯊	ユウ	p:𡯊
𤤟	⿰𤣩石	セキ シャク	p:石
𤤠	⿰𤣩央	オウ	p:央
𤤡	⿰𤣩𦉰	ボウ モウ	p:𦉰
𤤢	⿰𤣩⿵冂女	ジョ ニョ	p:女
𤤣	⿰𤣩叐	ハツ	p:叐
𤤤	⿰𤣩禾	カ	p:禾
𤤥	⿰𤣩失	シツ	p:失
𤤦	⿰𤣩田	テン	u
𤤧	⿰𤣩由	ユウ	u
𤤨	⿰𤣩囙	カイ	u
𤤩	⿰𤣩㐌	タ	u
𤤪	⿰𤣩用	サン	u
𤤫	⿰𤣩外	ガイ	u
𤤬	⿰𤣩幼	ヨウ	u
𤤭	⿰𤣩史	シ	p:史
𤤮	⿰𤣩冬	トウ	p:冬
𤤯	⿰𤣩永	エイ	u
𤤰	⿱王布	フ ホ	p:布
𤤱	⿰𤣩𠬦	シ	u
𤤲	⿰𤣩⿰工几	コウ	u
𤤳	⿰𤣩以	イ	p:以
𤤴	⿰玉玉		
𤤵	⿰𤣩⿸𠂆丰	ホウ フ	p:丰
𤤶	⿱巩玉	キョウ グ	u
𤤷	⿰𤣩𠂤	タイ テ	u
𤤸	⿰𤣩朵	タ ダ	u
𤤹	⿰𤣩朿	キョク	u
𤤺	⿰𤣩曳	エイ	u
𤤻	⿲𤣩刀王	ハン わける	u
𤤼	⿰𤣩𭗼	ドウ	u
𤤽	⿰𤣩𠇍	チン めずらしい	u
𤤾	⿰𤣩𣲇		
𤤿	⿰𤣩百	ヒャク ビャク	p:百
𤥀	⿰𤣩多	タ	p:多
𤥁	⿰𤣩名	メイ ミョウ	p:名
𤥂	⿰𤣩亦	エキ ヤク	p:亦
𤥃	⿰𤣩安	アン	p:安
𤥄	⿰𤣩米	ベイ マイ	p:米
𤥅	⿰𤣩州	シュウ ス	p:州
𤥆	⿰𤣩再	サイ サ	p:再
𤥇	⿰𤣩至	シ	p:至
𤥈	⿰𤣩𡰯	シ	p:𡰯
𤥉	⿰𤣩艻	ロク キョク	p:艻
𤥊	⿰𤣩㣼	ニン ジン	p:㣼
𤥋	⿰𤣩印	イン	p:印
𤥌	⿰𤣩邜		
𤥍	⿰𤣩⿺久彡	サン セン	p:彡
𤥎	⿰𤣩𤆌	エン	u
𤥏	⿱如玉	ジョ ニョ	p:如
𤥐	⿰𤣩吉	キチ キツ	p:吉
𤥑	⿰𤣩妄	モウ ボウ	p:妄
𤥒	⿰𤣩西	セイ	u
𤥓	⿱合玉	キン	u
𤥔	⿱夙玉	シュク	u
𤥕	⿰𤣩危	セン	u
𤥖	⿰𤣩𦈢	ホウ	u
𤥗	⿰𤣩丣	リュウ ル	u
𤥘	⿰𤣩⿱匈又	ユウ	p:又
𤥙	⿰𤣩⿱灭又	バン マン	u
𤥚	⿰𤣩旱	カン	u
𤥛	⿰𤣩𥃩	ギン	u
𤥜	⿰𤣩𠬸	ボツ	u
𤥝	⿰𤣩孝	コウ キョウ	p:孝
𤥞	⿰𤣩役	ヤク エキ	p:役
𤥟	⿰𤣩曵	エイ	p:曵
𤥠	⿰𤣩宏	コウ	p:宏
𤥡	⿰𤣩弃	キ	p:弃
𤥢	⿰𤣩吿	コク コウ	p:吿
𤥣	⿰𤣩克	コク	p:克
𤥤	⿰𤣩⿻冖木	ボク モク	p:木
𤥥	⿰𤣩⿱⿸亣丶又	ユウ	p:又
𤥦	⿰𤣩庒	ビョウ ショウ	p:庒
𤥧	⿰𤣩𦒳	ロウ	p:𦒳
𤥨	⿰𤣩豕	タク みが.く	v:琢
𤥩	⿰𤣩⿱⺊疋	ヒキ ショ	p:疋
𤥪	⿰𤣩囲	イ	p:囲
𤥫	⿰𤣩谷	コク	p:谷
𤥬	⿰𤣩㣊		
𤥭	⿰𤣩車	シャ	p:車
𤥮	⿰𤣩⿱少口	シュ	u
𤥯	⿰𤣩呆	ホウ	p:呆
𤥰	⿰𤣩皃	ビョウ	u
𤥱	⿰𤣩⿳㇒冈又	ユウ	p:又
𤥲	⿱求玉	キュウ グ	p:求
𤥳	⿰𤣩困	コン	p:困
𤥴	⿰𤣩志	シ シリング	p:志
𤥵	⿰𤣩夾	キョウ コウ	p:夾
𤥶	⿰𤣩那	ナ ダ	p:那
𤥷	⿱㺳土	ゼン	u
𤥸	⿲𤣩攴阝	リン	u
𤥹	⿰秀玉	シュウ	p:秀
𤥺	⿰𤣩奂	カン	p:奂
𤥻	⿰𤣩延	エン	p:延
𤥼	⿰𤣩忩	ソウ	u
𤥽	⿰𤣩於	ヨ	u
𤥾	⿰𤣩㦿	キョ ゴ	u
𤥿	⿰𤣩夜	エキ ヤク	u
𤦀	⿱弥玉	ビ ミ	u
𤦁	⿱臤玉	カン ケン	p:臤
𤦂	⿱或玉	ワク コク	p:或
𤦃	⿱來玉	ライ	u
𤦄	⿰𤣩⿱巛⿻日乚	イン オン	p:乚
𤦅	⿱非王	ヒ	p:非
𤦆	⿰𤣩臽	カン ゲン	p:臽
𤦇	⿰𤣩岡	コウ	p:岡
𤦈	⿰𤣩芬	フン	p:芬
𤦉	⿱昍王	ケン カン	p:昍
𤦊	⿰𤣩沓	トウ	p:沓
𤦋	⿰𤣩秉	ヘイ	p:秉
𤦌	⿰𤣩宜	ギ	p:宜
𤦍	⿰𤣩佩	ハイ	p:佩
𤦎	⿰𤣩侖	リン ロン	p:侖
𤦏	⿰𤣩忽	ソウ ス	v:璁
𤦐	⿰𤣩厓	ガイ ゲ	p:厓
𤦑	⿰𤣩⿱囟又	ユウ	p:又
𤦒	⿱或王	コク	u
𤦓	⿰𤣩𡧘	セキ	p:𡧘
𤦔	⿰𤣩卷	カン ケン	p:卷
𤦕	⿰𤣩孟	モウ ボウ	p:孟
𤦖	⿱玨毛	モウ	p:毛
𤦗	⿱玨水	スイ	p:水
𤦘	⿰𤣩昔	セキ シャク	p:昔
𤦙	⿰𤣩花	カ ケ	p:花
𤦚	⿰𤣩具	グ	p:具
𤦛	⿰𤣩冐	ボウ モウ マイ	u
𤦜	⿰𤣩舍	セキ シャ	p:舍
𤦝	⿰𤣩帛	ハク	p:帛
𤦞	⿰𤣩阜	フ フウ	p:阜
𤦟	⿱取玉	シュ	p:取
𤦠	⿱⿻人玨⿰丿丨	カイ	u
𤦡		キン	u
𤦢	⿱其王	キ ギ	p:其
𤦣	⿰𤣩⿸虍人	ジン ニン	p:人
𤦤	⿰𤣩兒	ケイ	u
𤦥	⿰𤣩⿻臼⿻㇂㇒	エイ	u
𤦦	⿰玢王	ハン	u
𤦧	⿰𤣩芝	シ	p:芝
𤦨	⿱⿰？井玉	セイ	u
𤦩	⿰𤣩亞	ア	p:亞
𤦪	⿰𤣩東	トウ	p:東
𤦫	⿰𤣩夌	リョウ	p:夌
𤦬	⿰𤣩念	ネン	p:念
𤦭	⿰𤣩青	セイ ショウ	p:青
𤦮	⿰𤣩治	チ ジ	u
𤦯	⿰𤣩𦘔	シン	u
𤦰	⿰𤣩⿱夂糸	リュウ	u
𤦱	⿰𤣩⿱龴𡆾	ケイ ギョウ	u
𤦲	⿱𭸾木	キョ ゴ	u
𤦳	⿰𤣩𠣞	コン	u
𤦴	⿰𤣩⿱从⿺𠃊日	ロウ	u
𤦵	⿰𤣩匽	エン	p:匽
𤦶	⿰𤣩㚅	リュ リュウ	p:㚅
𤦷	⿰𤣩衍	エン	p:衍
𤦸	⿰𤣩保	ホ ホウ	p:保
𤦹	⿰𤣩貞	いさぎよい	u
𤦺	⿰𤣩竒	キ	p:竒
𤦻	⿰𤣩亮	リョウ	p:亮
𤦼	⿱𥄗玉	ワン カン ガン	u
𤦽	⿰𤣩斿	ヨウ ヨ	p:斿
𤦾	⿰𤣩姿	シ	p:姿
𤦿	⿰𤣩咨	シ	p:咨
𤧀	⿰𤣩某	ボウ	p:某
𤧁	⿰𤣩屎	シ キ	p:屎
𤧂	⿱玨令	レイ	p:令
𤧃	⿰𤣩契	ケイ	p:契
𤧄	⿰𤣩要	ヨウ	p:要
𤧅	⿰𤣩屏	ヘイ ビョウ	p:屏
𤧆	⿱玨本	ホン	p:本
𤧇	⿰𤣩相	ソウ ショウ	p:相
𤧈	⿰𤣩巷	コウ	p:巷
𤧉	⿰𤣩⿳龶厶𡭔	シ ボウ	p:厶
𤧊	⿰𤣩奎	ケイ キ	p:奎
𤧋	⿰𤣩耍	サ シャ	p:耍
𤧌	⿰𤣩苑	エン オン	p:苑
𤧍	⿰𤣩苓	レイ リョウ	p:苓
𤧎	⿰𤣩⿱⿱𦘒一彡	サン セン	p:彡
𤧏	⿰𤣩⿱爫正	セイ ショウ	p:正
𤧐	⿰𤣩秋	シュウ	p:秋
𤧑	⿰𤣩風	フウ フ	p:風
𤧒	⿰𤣩盆	ボン	p:盆
𤧓	⿰𤣩⿳⺈田力	リョク リキ	p:力
𤧔	⿰𤣩勉	ベン	p:勉
𤧕	⿰𤣩垔	シュ ショウ	p:垔
𤧖	⿰𤣩畏	カン	u
𤧗	⿰𤣩咼	カ	u
𤧘	⿰𤣩香	トウ	u
𤧙	⿰𤣩臾	ユ	u
𤧚	⿰𤣩怱	ソウ ス	v:璁
𤧛	⿰𤣩帝	テイ	p:帝
𤧜	⿰𤣩⿱巛⿻日𠤎	ヒ カ	p:𠤎
𤧝	⿰𤣩侯	コウ	p:侯
𤧞	⿰𤣩美	ビ ミ	p:美
𤧟	⿰𤣩亭	テイ チン	p:亭
𤧠	⿱玉⿰土虫	ゲン	u
𤧡	⿲𤣩⿱土夕阝	フ フウ	p:阝
𤧢	⿲𤣩⿱上夕阝	リン	u
𤧣	⿰𤣩建	ケン コン	p:建
𤧤	⿰𭕛玉		
𤧥	⿱珀玉	ハク	p:珀
𤧦	⿱玉秋	シュウ	p:秋
𤧧	⿱⿰⿱㇒⿻一止殳玉	エイ	u
𤧨	⿲𤣩？阝	フ フウ	p:阝
𤧩	⿱𥄗玉	ワツ ワチ	p:𥄗
𤧪	⿰𤣩𥥍	チン	u
𤧫	⿰𤣩追	タイ	u
𤧬	⿱⿰耳㕚玉	ソウ ショウ	p:㕚
𤧭	⿰𤣩旁	ホウ ボウ	u
𤧮	⿰𤣩𭩶	タ ダ	u
𤧯	⿰𤣩⿳⿱㇒𠔿八夊	バン マン	u
𤧰	⿱⿻人玨比	ヒ	u
𤧱	⿰𤣩⿱龴⿵冂各	カク	p:各
𤧲	⿰⿻人玨巴	ハ	u
𤧳	⿰𤣩荖	ハイ ホウ	p:荖
𤧴	⿰𤣩恭	キョウ	p:恭
𤧵	⿰𤣩尃	フ ホ	p:尃
𤧶	⿰𤣩夏	カ ガ	p:夏
𤧷	⿰𤣩展	テン	p:展
𤧸	⿰𤣩豈	カイ ガイ	p:豈
𤧹	⿰𤣩茲	シ ジ	p:茲
𤧺	⿰𤣩𡨈	セン	u
𤧻	⿰𤣩庭	テイ	p:庭
𤧼	⿰𤣩高	コウ	p:高
𤧽	⿰𤣩冡	ボウ モ	p:冡
𤧾	⿲𤣩方色	ショク シキ	p:色
𤧿	⿰𤣩斋	サイ	p:斋
𤨀	⿰𤣩⿱大町	チョウ	p:町
𤨁	⿰𤣩晋	シン	v:瑨
𤨂	⿰𤣩迶	ユウ ウ	p:迶
𤨃	⿰𤣩⿳⿵卄一一㕣	エン	p:㕣
𤨄	⿰𤣩素	ソ ス	p:素
𤨅	⿰𤣩時	ジ	p:時
𤨆	⿰𤣩晃	コウ	p:晃
𤨇	⿰𤣩𧆠		
𤨈	⿰𤣩⿳山口𦉫	モウ	p:𦉫
𤨉	⿰𤣩𣁋	ビ ミ	p:𣁋
𤨊	⿰𤣩奚	ケイ	p:奚
𤨋	⿰𤣩笒	シン キン	p:笒
𤨌	⿰𤣩𢙥		
𤨍	⿳玨冖𠠴	リク	u
𤨎	⿰𤣩家	キョ	u
𤨏	⿰𤣩𧴲	サ ちいさい	u
𤨐	⿱舀玉	ジ	u
