傸	⿰亻爽	ソウ ショウ	u
傼	⿰亻𦰩	カン	u
傿	⿰亻焉	エン オン イン	u
僁	⿰亻悉	セツ セチ シツ シチ	u
僆	⿰亻連	レン	u
僈	⿰亻曼	バン マン	u
僋	⿰亻貪	タン トン ラン	u
僒	⿰亻窘	キン ギン	u
僗	⿰亻勞	ロウ	u
僛	⿰亻欺	キ	u
僠	⿰亻番	ハン	u
僪	⿰亻矞	キツ ギチ イツ イチ	u
僫	⿰亻惡	アク	u
僬	⿰亻焦	ショウ ジョウ	u
僰	⿱棘人	ホク ボク	u
僴	⿰亻間	カン	u
僷	⿰亻葉	ヨウ	u
僸	⿰亻禁	キン コン ギン ゴン	u
僼	⿰亻豊	ホウ	u
僽	⿰亻愁	シュウ シュ ジュ	u
僿	⿰亻塞	シ サイ	u
儅	⿰亻當	トウ	u
儊	⿰亻楚	ソ ショ	p:楚
儏	⿰亻粲	サン	p:粲
儑	⿰亻㬎	ガン ゴン ゴウ	u
儓	⿰亻臺	タイ	u
儠	⿰亻巤	リョウ	u
儢	⿰亻慮	リョ ロ	u
儤	⿰亻暴	ホウ ヒョウ	u
儥	⿰亻賣	イク テキ トク うる	u
儦	⿰亻麃	ヒョウ	u
儩	⿰亻賜	シ	u
儫	⿰亻豪	ゴウ	u
儮	⿰亻歷	レキ リャク	u
儰	⿰亻蔿	イ	u
儶	⿰亻巂	ケイ エ	u
儽	⿰亻纍	ライ ルイ ラ	u
儾	⿰亻囊	ノウ	u
兑	⿱丷兄	ダ エツ	u
兖	⿱亠兊	エン	u
兙	⿺克十	デカグラム	u
兛	⿺克千	キログラム	u
兝	⿺克分	デシグラム	u
兞	⿺克毛	ミリグラム	u
兡	⿺克百	ヘクトグラム	u
兣	⿺克厘	センチグラム	u
內	⿻冂入	ナイ ダイ ゼイ ネイ	u
兯	⿱丷𰆊		
兰	⿱丷三	ラン ラ	v:蘭
兲	⿱王八	テン	u
兴	⿳𭕄一八	キョウ コウ おこる	u
兹	⿱䒑𢆶	ジ ここ ここに しげる	u
兺	⿱分𫜸	シツ シチ	p:𫜸
兽	⿱𬎿𠮛	ジュウ けもの けだもの	v:獸
兿	⿳䒑执云	ウン	p:云
冁	⿰单展	テン テツ テチ	v:囅
冇	⿸𠂇冂	サ	p:𠂇
冈	⿵冂㐅	モウ	u
冔	⿱冃吁	ク	u
冚	⿱冖山	サン セン	p:山
军	⿱冖车	グン いくさ	v:軍
农	⿻冖𧘇	ノウ	v:農
冞	⿱冖米	ビ ミ	u
冟	⿱冖皀	セキ シャク	u
冧	⿱冖林	リン	p:林
冮	⿰冫工	コウ え	u
冯	⿰冫马	ヒョウ フ フウ たの.む	v:馮
冹	⿰冫犮	フツ フチ ハツ ホチ	u
冻	⿰冫东	トウ こお.る こご.える こご.る	v:凍
净	⿰冫争	ソウ ショウ ひややか	v:凈
凁	⿰冫束	ソウ シュ	u
凇	⿰冫松	ジョウ シュ ソウ ス	u
凎	⿰冫金	キン コン	p:金
凐	⿰冫垔	イン	u
凔	⿰冫倉	ソウ ショウ	u
凗	⿰冫崔	サイ ズイ	u
凙	⿰冫睪	タク ダク ジャク	u
凚	⿰冫禁	キン ゴン	u
凟	⿰冫賣	トク トウ けが.す けが.れ	v:瀆
凣	⿱丨几	ボン ハン およ.そ おうよ.そ	v:凡
凤	⿵𠘨又	ホウ	u
凨	⿵𠘨云	ウン	p:云
凫	⿹？几	フ けり かも	v:鳧
凬	⿵𠘨𣄼	フウ フ かぜ	u
凯	⿰岂几	ガイ カイ かちどき やわらぐ	v:凱
击	⿱𰀁凵	ゲキ う.つ	v:擊
凼	⿶凵水	スイ	p:水
凿	⿶凵丵	サク のみ うが.つ	v:鑿
刉	⿰乞刂	キ ギ ケ カイ	u
刌	⿰寸刂	ソン セン	u
刍	⿱⺈𫜹	スウ ス シュ シュウ	u
刏	⿰气刂	キ ケ カイ	u
刐	⿰丹刂	タン	u
则	⿰贝刂	ソク のっと.る のり すなわち	v:則
刚	⿰冈刂	ゴウ	v:剛
创	⿰仓刂	ソウ ショウ つく.る はじ.める	v:創
刜	⿰弗刂	フツ フチ	u
刞	⿰且刂	ショ	u
刟	⿰召刂	チョウ	u
删	⿰册刂	サン けずる	u
刡	⿰民刂	ビン ミン	u
刣	⿰台刂	ショウ シュ	u
刦	⿰去刂	キョウ おびやかす	u
别	⿰另刂	ベツ ヘツ わかれる	u
刬	⿰戋刂	サン セン けず.る	v:剗
刭	⿰𢀖刂	ケイ くびきる	u
刯	⿰亘刂	コウ	u
刴	⿰朶刂	タ	u
刽	⿰会刂	カイ ケ カツ た.つ	v:劊
刾	⿰夹刂	シ セキ さす	u
刿	⿰岁刂	ケイ ケ そこ.なう さ.く	v:劌
剀	⿰岂刂	ガイ カイ	v:剴
剁	⿰朵刂	タ	v:刴
剂	⿰齐刂	ザイ スイ セイ かる	v:劑
剆	⿰？刂	ラ	u
剈	⿰肙刂	エン ケン	u
剎	⿰𣏂刂	セツ サツ セチ	u
剐	⿰呙刂	カ ケ わ.ける さ.く	v:剮
剑	⿰佥刂	ケン つるぎ	v:劍
剒	⿰昔刂	サク	u
剓	⿱𥝢刀	リ	u
剙	⿰并刅	ソウ はじめる	u
剢	⿰豖刂	トク タク	u
剧	⿰居刂	ゲキ	v:劇
剨	⿰砉刂	カク キャク	u
剫	⿰度刂	タク ダク ト ヅ	u
剭	⿰屋刂	オク アク	u
剶	⿰彖刂	セン	u
剺	⿸𠩺刀	リ	u
剻	⿰崩刂	フウ ブ	u
剼	⿰參刂	サン ショウ	u
剾	⿰區刂	コウ ク オウ オ	u
劁	⿰焦刂	ショウ ジョウ	u
劆	⿰廉刂	レン	u
劋	⿰喿刂	ショウ ソウ	u
劎	⿰僉刀	ケン	u
劏	⿰當刂	トウ	p:當
劐	⿰蒦刂	ギャク カク わかつ	u
劙	⿰蠡刂	リ レイ ライ	u
劝	⿰又力	カン	u
办	⿻力八	ベン ヘン	u
务	⿱夂力	ム つと.める	v:務
劢	⿰万力	バイ メ つと.める	v:勱
动	⿰云力	ドウ うご.く うご.かす	v:動
劮	⿰失力	イツ イチ	u
劲	⿰𢀖力	ケイ つよ.い	v:勁
劳	⿱𫇦力	ロウ いたわる	u
势	⿱执力	セイ いきおい	u
勂	⿰告力	コウ ゴウ	u
勋	⿰员力	クン いさお	v:勛
勎	⿰坴力	リク	u
勓	⿰皆力	カイ	u
勚	⿰贳力	エイ イ シ いたつき	v:勩
勫	⿰番力	ハン ホン	u
勭	⿰童力	トウ ズ	u
勮	⿰豦力	キョ ゴ リョ ロ	u
勯	⿰亶力	タン	u
勼	⿹勹九	キュウ ク	u
勽	⿹勹人	ブン モン ホウ ボウ	u
匄	⿹勹亡	カツ あたえる	u
匉	⿹勹平	ホウ ヒョウ	u
匎	⿹勹奄	オウ	u
匒	⿹勹荅	トウ	u
匔	⿹勹躳	キュウ キク ゴク	u
匢	⿷匚勿	コツ コチ	u
匦	⿷匚轨	キ コ はこ くく.る	v:匭
匮	⿷匚贵	キ ひつ	v:匱
匴	⿷匚算	サン セン	u
匶	⿷匚舊	キュウ グ ひつぎ	u
匷	⿷匚瞿	キヨ ゴ	u
卄	⿻一⿰丨丨	ジュウ にじゅう	u
华	⿱化十	カ ケ はな	v:華
协	⿰十办	キョウ	v:協
卐	⿾卍	バン	u
单	⿱丷⿻甲一	タン ひとえ	v:單
卖	⿱十买	バイ う.る う.れる	v:賣
卝	⿰⿾⺊⺊	コウ オウ カン あげまき	u
卟	⿰口卜	ケイ	u
卢	⿱⺊尸	ロ	v:盧
卤	⿱⺊龱	セイ	u
卨	⿱⺊咼	セツ	u
卪	⿻卩丶	セツ セチ	u
卫	⿱𰆊一	エイ エ	v:衛
卶	⿰多卩	シ	u
卼	⿺兀危	ゴツ ゴチ	u
厀	⿰桼卩	シツ ひざ	u
厁	⿱斜𰆊	シャ	p:斜
厅	⿸厂丁	チョウ テイ やくしょ	v:廳
历	⿸厂力	レイ ライ レツ レチ	v:厲
厉	⿸厂万	レイ はげしい	u
厊	⿸厂牙	ガ ゲ	u
压	⿸厂圡	アツ エン オウ お.す	v:壓
厌	⿸厂犬	エン オン アン オウ	v:厭
厍	⿸厂车	シャ	v:厙
厏	⿸厂乍	サ シャ サク シャク	u
厐	⿸厂龙	ホウ	v:龎
厑	⿸厂𫜸	シツ シチ	p:𫜸
厒	⿸厂缶	コウ キョウ	u
厕	⿸厂则	シ ショク かわや	v:厠
厗	⿸厂辛	テイ ダイ	u
厛	⿸厂听	キン ポンド	p:听
厜	⿸厂垂	スイ ズイ	u
厞	⿸厂非	ヒ ビ	u
厢	⿸厂相	ショウ ソウ ひさし	v:廂
厣	⿸厌甲	エン	v:厴
厧	⿸厂真	テン	u
厬	⿸厂晷	キ	u
厱	⿸厂僉	カン ケン コン ラン	u
厹	⿱九厶	ジュウ ニュウ キュウ グ	u
厼	⿱厶小	ショウ	p:小
厾	⿹⺄去	チュウ	u
县	⿱且厶	ケン か.ける	v:縣
叁	⿳厶大三	サン	u
叄	⿱厽⿱𠆢三	サン	u
叆	⿰云爱	アイ イ	v:靉
叇	⿰云逮	タイ	v:靆
叐	⿱㇒友	ハツ	u
发	⿺⿸⿻𠃋丿又丶	ハツ ホツ た.つ あば.く	v:發
变	⿱𰁜又	ヘン か.わる か.える	v:變
叜	⿱宀𤆌	ソウ シュ おきな	u
叹	⿰口又	ユウ	u
叻	⿰口力	ロク リョク	u
叼	⿰口刁	チョウ	u
叽	⿰口几	キ ケ	v:嘰
叾	⿱了口	リョウ	p:了
叿	⿰口工	コウ ク	u
吀	⿰口千	バ	u
吅	⿰口口	ケン カン セン ショウ	u
吆	⿰口幺	ヨウ	u
吇	⿰口子	シ	u
吔	⿰口也	ヤ タ	u
吕	⿱口口	ロ リョ せぼね	v:呂
吖	⿰口丫	ア ヤ	p:丫
吗	⿰口马	バ ののし.る	v:嗎
吘	⿰口午	ゴウ グ	u
吙	⿰口火	カ	u
吜	⿰口丑	チュウ チュ	u
吢	⿱心口	シン	u
吣	⿰口心	シン	u
吥	⿰口不	ホウ フ	u
吰	⿰口厷	コウ オウ	u
吲	⿰口引	シン	u
吳	⿺⿱𠃑大口	ゴ くれ	u
吷	⿰口夬	ケツ ケチ セチ セツ	u
