薗	⿱艹園	10	0	エン オン	その	ぞの			16	
遠	⿺辶袁	2	887	エン オン	とお.い	お おに ど どお	とおざける とおざかる	u	13	
鉛	⿰金㕣	8	1710	エン	なまり				13	⿰金⿱𠘧口
鴛	⿱夗鳥	0	0	エン オン	おし おしどり				16	
塩	⿰土𬐚	4	1148	エン	しお				13	
於	⿰方仒	9	2113	オ ヨ	おい.て お.ける ああ より		ウ に	u	8	
汚	⿰氵亐	8	908	オ	けが.す けが.れる けが.らわしい よご.す		ウ ワ よごれる きたない	u	6	
甥	⿰生男	9	0	セイ ソウ ショウ	おい むこ				12	
凹		8	2206	オウ	くぼ.む へこ.む ぼこ		ヨウ	u	5	
央	⿻𠀃人	3	582	オウ		あきら え お さと ちか てる	エイ ヨウ つきる なかば	u	5	
奥	⿱⿵⿱丿冂米大	8	1018	オウ	おく おく.まる くま	お おお おん つ のく	イク ユウ サン	u	12	⿳㇒𭁨大
往	⿰彳主	5	1421	オウ	い.く いにしえ さき.に ゆ.く	みち	いなす	u	8	
応	⿸广心	5	266	オウ ヨウ -ノウ	あた.る まさに こた.える	お たか まさ			7	
押	⿰扌甲	8	789	オウ	お.す お.し- お.っ- お.さえる	おし おす おや	コウ	u	8	
旺	⿰日王	8	2342	オウ	さかん				8	
横	⿰木黄	3	480	オウ	よこ		コウ よこぎる よこたえる よこたわる	u	15	
欧	⿰区欠	8	421	オウ	うた.う は.く	おお ひろ	うつ	u	8	
殴	⿰区殳	8	1622	オウ	なぐ.る		ク コウ オ たたく	u	8	
王	⿱一土	1	684	オウ -ノウ		おお おおきみ わ	きみ	u	4	
翁	⿱公羽	8	2064	オウ	おきな	お おな			10	⿱公⿰习习
襖	⿰衤奥	9	0	オウ	ふすま あお				17	⿰衤奧
鴬	⿳𭕄冖鳥	0	0	オウ	うぐいす		ヨウ	u	16	⿱𰃮鳥
鴎	⿰区鳥	0	2187	オウ	かもめ		オ ク イウ ウ	u	15	
黄	⿳龷由八	2	1240	コウ オウ	き こ-	うい れい			11	
岡	⿵冂⿱䒑山	4	463	コウ	おか				8	⿵𦉰山
沖	⿰氵中	4	929	チュウ	おき おきつ ちゅう.する わく		ジュ ズ トウ	u	7	
荻	⿱艹狄	9	1630	テキ	おぎ		ジャク	u	10	
億	⿰亻意	4	716	オク		お	ヨク ああ おしはかる はかる	u	15	
屋	⿸尸至	3	616	オク	や	た	やね	u	9	
憶	⿰忄意	8	1324	オク			ヨク オキ おぼえる おもう	u	16	
臆	⿰月意	8	0	オク ヨク	むね おくする		オキ イ	u	17	
桶	⿰木甬	9	2210	ヨウ トウ	おけ		ツ ツウ ユ	u	11	
牡	⿰牛土	9	2155	ボ ボウ	おす お- おん-		モ	u	7	⿰牜土
乙		8	1841	オツ イツ	おと- きのと				1	
俺	⿰亻奄	8	1946	エン	おれ われ		ヨウ アン	u	10	
卸	⿰𦈢卩	8	1520	シャ	おろ.す おろし おろ.し				9	
恩	⿱因心	6	1418	オン		めぐみ	いつくしむ	u	10	
温	⿰氵昷	3	838	オン	あたた.か あたた.かい あたた.まる あたた.める	あつ あつし なお はる ゆ ゆたか	ウン	u	12	
穏	⿰禾𢚩	8	1535	オン	おだ.やか				16	⿰禾⿳爫彐心
音	⿱立日	1	491	オン イン -ノン	おと ね	お と			9	
下	⿱一卜	1	97	カ ゲ	した しも もと さ.げる	さか しと	ア さがる くだる くだす	u	3	
化	⿰亻匕	3	89	カ ケ	ば.ける ば.かす ふ.ける け.する		ガ かえる かわる	u	4	⿰亻𠤎
仮	⿰亻反	5	1039	カ ケ	かり かり-		カク ハン かりに かりる	u	6	
何	⿰亻可	2	340	カ	なに なん なに- なん-	あが	いくばく いずれ なんぞ	u	7	
伽	⿰亻加	9	2323	カ ガ キャ ギャ	とぎ				7	
価	⿰亻覀	5	250	カ ケ	あたい				8	
佳	⿰亻圭	8	1643	カ		けい よし	カイ よい	u	8	
加	⿰力口	4	130	カ	くわ.える くわ.わる		ケ くわえて	u	5	
可	⿹丁口	5	314	カ コク	-べ.き -べ.し	よし	よい	u	5	
嘉	⿱壴加	9	1553	カ	よみ.する よい	ひろ よし よしみ かず よ	ケ ゲ	u	14	
夏	⿱𦣻夂	2	659	カ ガ ゲ	なつ				10	⿱𦣻夊
嫁	⿰女家	8	1581	カ	よめ とつ.ぐ い.く ゆ.く		ケ	u	13	
家	⿱宀豕	2	133	カ ケ	いえ や うち	あり え く つか べ	コ いえする	u	10	
寡	⿳宀⿱丆且分	8	2035	カ			すくない やもめ	u	14	⿱宀𪟊
科	⿰禾斗	2	531	カ		しな	とが	u	9	
暇	⿰日叚	8	1386	カ	ひま いとま		ゲ	u	13	
果	⿻日木	4	258	カ	は.たす はた.す -は.たす は.てる	み	ワ ラ カン はて	u	8	
架	⿱加木	8	1555	カ	か.ける か.かる		ケ たな	u	9	
歌	⿰哥欠	2	519	カ	うた うた.う				14	
河	⿰氵可	5	663	カ	かわ	かっ こ こう	ガ	u	8	
火	⿱八人	1	574	カ	ひ -び ほ-		コ やく	u	4	
珂	⿰王可	9	2227	カ		が			9	
禍	⿰礻咼	8	2010	カ	わざわい				13	⿰示咼
禾	⿱丿木	9	0	カ	いね		ワ のぎへん のぎ	u	5	
稼	⿰禾家	8	1264	カ	かせ.ぐ		ケ	u	15	
箇	⿱竹固	8	0	カ コ					14	⿱𥫗固
花	⿱艹化	1	578	カ ケ	はな	わ			7	
苛	⿱艹可	8	0	カ	いじ.める さいな.む いらだ.つ からい		ガ ケ こまかい	u	8	
茄	⿱艹加	9	0	カ		な か なす			8	
荷	⿱艹何	3	1230	カ	に	はす り	になう	u	10	
華	⿱艹⑦	8	1085	カ ケ	はな	わ	カイ ゲ はなやか	u	10	
菓	⿱艹果	8	1719	カ					11	
蝦	⿰虫叚	9	2501	カ ゲ	えび	えみ	ガ ケ	u	15	
課	⿰言果	4	455	カ					15	
嘩	⿰口華	9	0	カ ケ	かまびす.しい				13	
貨	⿱化貝	4	822	カ	たから				11	
迦	⿺辶加	9	2160	カ ケ			カイ キャ ゲ	u	8	
過	⿺辶咼	5	285	カ	す.ぎる す.ごす あやま.ち あやま.つ		とが よぎる	u	12	
霞	⿱雨叚	9	1603	カ ゲ	かすみ かす.む				17	
蚊	⿰虫文	8	2121	ブン	か		モン	u	10	
俄	⿰亻我	9	0	ガ	にわか				9	
峨	⿰山我	9	2234	ガ	けわ.しい				10	
我	⿻⿱㇒扌？	6	829	ガ	われ わ わ.が- わが-	あ あが か			7	
牙	⿹⿻丁𠃋㇒	8	2067	ガ ゲ	きば は		きばへん	u	5	
画	⿱一⿶凵由	2	199	ガ カク エ カイ	えが.く かく.する かぎ.る はかりごと		はかる	u	8	⿴⿱一凵田
臥	⿰臣人	9	0	ガ	ふせ.る ふ.せる ふ.す				9	
芽	⿱艹牙	4	1691	ガ	め	じ めぐ	ゲ めぐむ	u	8	
蛾	⿰虫我	0	0	ギ ガ	ひむし		チ ゲ	u	13	
賀	⿱加貝	4	1056	ガ		か のり よし より	いわう	u	12	
雅	⿰牙隹	8	1192	ガ	みや.び	う お か ただし のり まさ	ア つね みやびやか	u	13	
餓	⿰飠我	8	1754	ガ	う.える				15	
駕	⿱加馬	9	0	カ ガ	かご が.する しのぐ のる		ケ	u	15	
介	⿱人⿰丿丨	8	617	カイ		すけ ゆき	こうら たすける よろい	u	4	⿱𠆢⿰丿丨
会	⿱人云	2	4	カイ エ	あ.う あ.わせる あつ.まる	あい い	カツ	u	6	⿱⿵𠆢一𠫔 ⿱𠆢云
解	⿰角𭷔	5	176	カイ ゲ	と.く と.かす と.ける ほど.く	さとる とけ			13	⿺𧣈刀
回	⿴囗口	2	50	カイ エ	まわ.る -まわ.る -まわ.り まわ.す		ウイ かえる たがう	u	6	
塊	⿰土鬼	8	1800	カイ ケ	かたまり つちくれ				13	
